concept_id,video_count
K_理解_心理学,251
K_语法_计算机科学与技术,248
K_提示_计算机科学与技术,246
K_材料_材料科学与工程,244
K_理_哲学,242
K_下来_临床医学,242
K_汽车_机械工程,241
K_请求_计算机科学与技术,241
K_项目_管理科学与工程,240
K_形式_中国语言文学,240
K_5_化学,236
K_标志_计算机科学与技术,235
K_分类_计算机科学与技术,235
K_大学_教育学,234
K_相信_计算机科学与技术,234
K_统一_历史学,233
K_课程_教育学,232
K_界面_计算机科学与技术,225
K_标识_计算机科学与技术,224
K_苏_历史学,224
K_阶_物理学,223
K_哲学_哲学,223
K_消息_计算机科学与技术,222
K_才能_心理学,221
K_长度_物理学,220
K_选择_管理科学与工程,219
K_编译器_计算机科学与技术,218
K_反映_中国语言文学,218
K_服务_管理科学与工程,218
K_交互_计算机科学与技术,218
K_系_教育学,218
K_成员_计算机科学与技术,217
K_观察_物理学,217
K_环境_管理科学与工程,216
K_栈_计算机科学与技术,216
K_波长_物理学,214
K_参考_计算机科学与技术,214
K_思考_心理学,212
K_教育_教育学,209
K_概率_计算机科学与技术,208
K_红色_计算机科学与技术,208
K_解释_心理学,204
K_原理_物理学,204
K_通信_计算机科学与技术,203
K_选项_计算机科学与技术,203
K_前提_计算机科学与技术,202
K_确保_计算机科学与技术,202
K_页面_计算机科学与技术,202
K_设计_管理科学与工程,200
K_物体_物理学,200
K_血液_临床医学,200
K_电源_电子科学与技术,198
K_链接_计算机科学与技术,198
K_映射_计算机科学与技术,198
K_综合_计算机科学与技术,198
K_覆盖_计算机科学与技术,197
K_保留_计算机科学与技术,196
K_首词_中国语言文学,194
K_文字_中国语言文学,194
K_墙_建筑学,192
K_协议_计算机科学与技术,191
K_变量_物理学,190
K_程序运_计算机科学与技术,190
K_课堂_教育学,190
K_接受_心理学,189
K_清晰_计算机科学与技术,189
K_态_中国语言文学,189
K_自我_心理学,189
K_等待_计算机科学与技术,188
K_力_建筑学,184
K_相关_化学,183
K_异常_计算机科学与技术,182
K_学校_教育学,180
K_作用_建筑学,180
K_部分_药学,177
K_身_药学,176
K_中断_计算机科学与技术,176
K_下载_计算机科学与技术,175
K_阶段_管理科学与工程,174
K_活动_计算机科学与技术,173
K_顾客_管理科学与工程,172
K_荷_物理学,172
K_投资_管理科学与工程,171
K_菜单_计算机科学与技术,170
K_结构_建筑学,170
K_客户_管理科学与工程,170
K_向量_计算机科学与技术,170
K_范围_管理科学与工程,168
K_分析_心理学,167
K_连接_电子科学与技术,167
K_校_教育学,167
K_决策_管理科学与工程,166
K_夹角_物理学,165
K_过程_哲学,164
K_图形_计算机科学与技术,164
K_硬盘_计算机科学与技术,164
K_耳_中国语言文学,162
K_脑_心理学,162
K_研究_管理科学与工程,162
K_战略_管理科学与工程,162
K_继承_计算机科学与技术,161
K_排列_计算机科学与技术,161
K_遍历_计算机科学与技术,160
K_选取_计算机科学与技术,160
K_位置_建筑学,159
K_约定_计算机科学与技术,159
K_2_药学,158
K_显_哲学,157
K_保护_计算机科学与技术,156
K_窗_建筑学,156
K_物理学_物理学,156
K_绘制_计算机科学与技术,155
K_溶液_化学,155
K_值_机械工程,154
K_基础_建筑学,153
K_关_地理学,152
K_C++语言程序设计_计算机科学与技术,151
K_单击_计算机科学与技术,151
K_概念_哲学,151
K_浓度_化学,151
K_体积_物理学,151
K_常量_计算机科学与技术,150
K_电平_电子科学与技术,150
K_寄存器_计算机科学与技术,150
K_自然_哲学,150
K_住宅_建筑学,149
K_价格_管理科学与工程,148
K_下降_临床医学,148
K_动画_计算机科学与技术,147
K_IP地址_计算机科学与技术,146
K_取代_化学,146
K_同步_计算机科学与技术,146
K_兴趣_心理学,146
K_呼_中国语言文学,145
K_存储空间_计算机科学与技术,143
K_真空_物理学,143
K_韵_中国语言文学,142
K_甲基_化学,141
K_特色社会主义_政治学,141
K_调试_计算机科学与技术,140
K_定理_物理学,140
K_方案_管理科学与工程,140
K_优先级_计算机科学与技术,140
K_专业_教育学,140
K_量子力学_物理学,139
K_酸性_化学,139
K_希_化学,138
K_想象_心理学,138
K_存储器_计算机科学与技术,136
K_团_计算机科学与技术,136
K_主函数_计算机科学与技术,135
K_创新_管理科学与工程,134
K_事实_管理科学与工程,134
K_中文_计算机科学与技术,133
K_卡_计算机科学与技术,132
K_采购_管理科学与工程,131
K_双键_化学,130
K_反_临床医学,129
K_寄存器，_计算机科学与技术,129
K_阶级_历史学,129
K_for循环_计算机科学与技术,128
K_电感_电气工程,128
K_孩子_计算机科学与技术,128
K_碱_化学,128
K_力学_物理学,128
K_芯片_计算机科学与技术,128
K_知识_管理科学与工程,128
K_地方_地理学,127
K_推导_计算机科学与技术,127
K_网页_计算机科学与技术,127
K_心理学家_心理学,127
K_加载_计算机科学与技术,126
K_矩阵_计算机科学与技术,126
K_年龄_临床医学,125
K_源代码_计算机科学与技术,125
K_布局_计算机科学与技术,124
K_初值_计算机科学与技术,124
K_创造_管理科学与工程,124
K_队列_计算机科学与技术,124
K_回车_计算机科学与技术,123
K_生理_临床医学,123
K_波函数_物理学,122
K_边界_计算机科学与技术,120
K_程序设计_计算机科学与技术,120
K_处理器_计算机科学与技术,120
K_位移_物理学,120
K_象征_中国语言文学,120
K_毛泽_军队政治工作学,119
K_建筑物_建筑学,118
K_理想_计算机科学与技术,117
K_努力_管理科学与工程,117
K_地区_地理学,116
K_集成_计算机科学与技术,116
K_库存_管理科学与工程,116
K_炎症_临床医学,116
K_苯环_化学,115
K_二极管_电子科学与技术,115
K_碱性_化学,115
K_评价_计算机科学与技术,115
K_电势_物理学,114
K_物理量_物理学,113
K_主题_中国语言文学,113
K_main函数_计算机科学与技术,112
K_机会_管理科学与工程,112
K_浏览器_计算机科学与技术,112
K_文件系统_计算机科学与技术,112
K_绑定_计算机科学与技术,111
K_变换_计算机科学与技术,111
K_易_哲学,111
K_层_地质学,110
K_反应物_化学,110
K_资产_管理科学与工程,110
K_比喻_中国语言文学,109
K_提交_计算机科学与技术,109
K_函数调用_计算机科学与技术,108
K_合成_化学,108
K_开销_计算机科学与技术,108
K_x次方_数学,107
K_汇编_计算机科学与技术,107
K_零件_机械工程,107
K_主体_计算机科学与技术,107
K_大臣_历史学,106
K_精度_计算机科学与技术,106
K_维_管理科学与工程,106
K_文件名_计算机科学与技术,106
K_测量_计算机科学与技术,105
K_金属_物理学,105
K_科学_管理科学与工程,105
K_土_建筑学,105
K_一致性_计算机科学与技术,105
K_增生_临床医学,105
K_for循环，_计算机科学与技术,104
K_案例_管理科学与工程,104
K_变化_哲学,104
K_电子云_化学,104
K_感知_计算机科学与技术,104
K_色_物理学,104
K_字_建筑学,104
K_产出_管理科学与工程,103
K_地基_地质学,103
K_二元函数_数学,103
K_机构_机械工程,103
K_证明_哲学,103
K_指标_管理科学与工程,103
K_质点_物理学,103
K_建模_计算机科学与技术,102
K_屋顶_建筑学,102
K_部件_机械工程,101
K_齿轮_机械工程,101
K_过去_物理学,101
K_卤素_化学,101
K_车轮_机械工程,100
K_反对_中国语言文学,100
K_风_大气科学,100
K_输入_电气工程,100
K_线程_计算机科学与技术,100
K_场_哲学,99
K_金_材料科学与工程,99
K_前缀_计算机科学与技术,99
K_填充_计算机科学与技术,99
K_苯_化学,98
K_缓存_计算机科学与技术,98
K_检验_计算机科学与技术,98
K_π键_化学,96
K_帝国主义_历史学,96
K_化学性质_化学,96
K_教授_教育学,96
K_文化_管理科学与工程,96
K_序列_数学,96
K_Java语言_计算机科学与技术,95
K_比例_建筑学,95
K_角度_力学,95
K_静态工作点_电子科学与技术,95
K_类的对象_计算机科学与技术,95
K_学科_教育学,95
K_材_建筑学,94
K_操作数_计算机科学与技术,94
K_功率_电子科学与技术,94
K_考试_教育学,94
K_浏览_计算机科学与技术,94
K_媒体_计算机科学与技术,94
K_算符_物理学,94
K_资产阶级_历史学,94
K_费用_管理科学与工程,93
K_加速度_物理学,93
K_投入_管理科学与工程,93
K_自信_心理学,93
K_工程地质_地质学,92
K_光学_物理学,92
K_链表_计算机科学与技术,92
K_碳碳_化学,92
K_系统调用_计算机科学与技术,92
K_转发_计算机科学与技术,92
K_光线_物理学,91
K_黑色_计算机科学与技术,91
K_栏_计算机科学与技术,91
K_内存空间_计算机科学与技术,91
K_收入_管理科学与工程,91
K_推广_物理学,91
K_雅公共卫生学_基础医学,91
K_printf_计算机科学与技术,90
K_σ键_化学,90
K_短路_电气工程,90
K_收益_管理科学与工程,90
K_需求曲线_理论经济学,90
K_旋转_计算机科学与技术,90
K_障碍_临床医学,90
K_正确性_计算机科学与技术,90
K_制剂_药学,90
K_初始状态_计算机科学与技术,89
K_地质学_地质学,89
K_动机_心理学,89
K_量子_物理学,89
K_视图_机械工程,89
K_点电荷_物理学,88
K_国家_地理学,88
K_记住_心理学,88
K_色彩_建筑学,88
K_有机化学_化学,88
K_照片_计算机科学与技术,88
K_总线_计算机科学与技术,88
K_后缀_计算机科学与技术,87
K_练习_心理学,87
K_实体_计算机科学与技术,87
K_输入电阻_电子科学与技术,87
K_盐_化学,87
K_cout_计算机科学与技术,86
K_变形_地质学,86
K_标的_管理科学与工程,86
K_符号_电子科学与技术,86
K_杆_力学,86
K_高度_机械工程,86
K_规划_计算机科学与技术,86
K_路由_计算机科学与技术,86
K_通知_计算机科学与技术,86
K_质心_力学,86
K_光速_物理学,85
K_枚举_计算机科学与技术,85
K_制造_管理科学与工程,85
K_装置_物理学,85
K_安全_管理科学与工程,84
K_冲突_心理学,84
K_传播_计算机科学与技术,84
K_函数体_计算机科学与技术,84
K_《红楼梦_中国语言文学,84
K_绝对_哲学,84
K_市_建筑学,84
K_政策_管理科学与工程,84
K_子类_计算机科学与技术,84
K_车身_机械工程,83
K_符合_化学,83
K_局_管理科学与工程,83
K_例句_外国语言文学,83
K_联系_哲学,83
K_醛_化学,83
K_线程，_计算机科学与技术,83
K_线性无关的_数学,83
K_循环体_计算机科学与技术,83
K_羧酸_化学,82
K_信息_电子科学与技术,82
K_引脚_计算机科学与技术,82
K_案_建筑学,81
K_操作符_计算机科学与技术,81
K_场所_建筑学,81
K_磁盘上_计算机科学与技术,81
K_机器_管理科学与工程,81
K_均衡点_理论经济学,81
K_膜_材料科学与工程,81
K_作业_管理科学与工程,81
K_LL_计算机科学与技术,80
K_电动力学_物理学,80
K_订单_管理科学与工程,80
K_副本_计算机科学与技术,80
K_码_电子科学与技术,80
K_亲核试剂_化学,80
K_全局变量_计算机科学与技术,80
K_性格_心理学,80
K_操作数，_计算机科学与技术,79
K_构件_机械工程,79
K_经验_哲学,79
K_程序执行_计算机科学与技术,78
K_电压放大倍数_电子科学与技术,78
K_构造函数_计算机科学与技术,78
K_光轴_光学工程,78
K_教材_教育学,78
K_力矩_力学,78
K_缩小_计算机科学与技术,78
K_技能_教育学,77
K_试剂_化学,77
K_指示_计算机科学与技术,77
K_调整_机械工程,76
K_十进制_计算机科学与技术,76
K_体重_临床医学,76
K_微分方_数学,76
K_int类型_计算机科学与技术,75
K_sp2杂化_化学,74
K_导入_计算机科学与技术,74
K_等级_历史学,74
K_价值_哲学,74
K_角动量_物理学,74
K_套_建筑学,74
K_显示器_计算机科学与技术,74
K_心灵_哲学,74
K_编程语言_计算机科学与技术,73
K_反复_中国语言文学,73
K_反应过程_化学,73
K_浮点数_计算机科学与技术,73
K_概率。_数学,73
K_判断_哲学,73
K_实在_哲学,73
K_心情_心理学,73
K_硬度_材料科学与工程,73
K_while循环_计算机科学与技术,72
K_安装_机械工程,72
K_传统_心理学,72
K_根节点_计算机科学与技术,72
K_机械_机械工程,72
K_梁_建筑学,72
K_社会经_政治学,72
K_外力_物理学,72
K_现金_管理科学与工程,72
K_亚里士_哲学,72
K_重载_计算机科学与技术,72
K_差异_教育学,71
K_多元微积分_数学,71
K_俯视图_机械工程,71
K_工业催化剂_化学工程与技术,71
K_寄存器的_计算机科学与技术,71
K_竞争对手_管理科学与工程,71
K_人际关系_心理学,71
K_时间复杂度_计算机科学与技术,71
K_刷新_计算机科学与技术,71
K_写操作_计算机科学与技术,71
K_栈顶_计算机科学与技术,71
K_主视图_机械工程,71
K_代码段_计算机科学与技术,70
K_记录_管理科学与工程,70
K_是连续函数_数学,70
K_数据结构的_计算机科学与技术,70
K_数组元素_计算机科学与技术,70
K_线性代_数学,70
K_饮食_临床医学,70
K_支付_管理科学与工程,70
K_发病机制_临床医学,69
K_功能_中国语言文学,69
K_麦克斯韦方程组_物理学,69
K_气_哲学,69
K_烷基_化学,69
K_学期_教育学,69
K_参考系_物理学,68
K_动的_哲学,68
K_高血压_临床医学,68
K_光源_物理学,68
K_广播_计算机科学与技术,68
K_华文教学_外国语言文学,68
K_输出结_计算机科学与技术,68
K_现代艺术_艺术学,68
K_运行时间_计算机科学与技术,68
K_CMOS_电子科学与技术,67
K_存储单元_计算机科学与技术,67
K_角速度_物理学,67
K_接收端_计算机科学与技术,67
K_矛盾_哲学,67
K_烷烃_化学,67
K_艺术创_艺术学,67
K_编制_管理科学与工程,66
K_标识符_计算机科学与技术,66
K_地址空间_计算机科学与技术,66
K_法线_物理学,66
K_汉字_中国语言文学,66
K_集中_管理科学与工程,66
K_可视化_计算机科学与技术,66
K_投影面_机械工程,66
K_味_物理学,66
K_作用力_物理学,66
K_char_计算机科学与技术,65
K_场点_物理学,65
K_成员函数_计算机科学与技术,65
K_登录_计算机科学与技术,65
K_工艺美术_艺术学,65
K_混合式教学_教育学,65
K_局部变量_计算机科学与技术,65
K_例程_计算机科学与技术,65
K_权限_计算机科学与技术,65
K_容错_计算机科学与技术,65
K_元组_计算机科学与技术,65
K_真理_哲学,65
K_负电荷_物理学,64
K_计数器_计算机科学与技术,64
K_站点_计算机科学与技术,64
K_mapreduce_计算机科学与技术,63
K_scanf_计算机科学与技术,63
K_等效电路_电气工程,63
K_肺部_临床医学,63
K_分布式文件系统_计算机科学与技术,63
K_工况_机械工程,63
K_内部控制_管理科学与工程,63
K_平面_计算机科学与技术,63
K_融资_管理科学与工程,63
K_新生儿_临床医学,63
K_资本主义经济_政治学,63
K_族_化学,63
K_左视图_机械工程,63
K_传动_机械工程,62
K_多元函数_数学,62
K_宫殿_建筑学,62
K_孤对电子，_化学,62
K_机理_化学,62
K_计算机网络_计算机科学与技术,62
K_角色_管理科学与工程,62
K_淋巴结_临床医学,62
K_马克思主义_历史学,62
K_拍摄对象_艺术学,62
K_日志_计算机科学与技术,62
K_软件开发_计算机科学与技术,62
K_商品_管理科学与工程,62
K_唐宋词_中国语言文学,62
K_透射_物理学,62
K_西方哲学_哲学,62
K_向量空间_数学,62
K_桌面_计算机科学与技术,62
K_，波函数_物理学,61
K_旦_化学,61
K_汇编语言_计算机科学与技术,61
K_极_电气工程,61
K_拒绝_计算机科学与技术,61
K_卤代烃_化学,61
K_内力_力学,61
K_前轮_机械工程,61
K_事务_计算机科学与技术,61
K_文法_计算机科学与技术,61
K_文件_管理科学与工程,61
K_引导_计算机科学与技术,61
K_洲_地理学,61
K_胺_化学,60
K_发送数据_计算机科学与技术,60
K_高级语言_计算机科学与技术,60
K_检查_管理科学与工程,60
K_接访问_计算机科学与技术,60
K_节奏_中国语言文学,60
K_句子_计算机科学与技术,60
K_开发者_计算机科学与技术,60
K_疗效_药学,60
K_流程图_计算机科学与技术,60
K_上传_计算机科学与技术,60
K_西方现代艺术_艺术学,60
K_信道_计算机科学与技术,60
K_字节数_计算机科学与技术,60
K_soil _地质学,59
K_sp3杂化_化学,59
K_web服务器_计算机科学与技术,59
K_癌_临床医学,59
K_代词_中国语言文学,59
K_范畴_计算机科学与技术,59
K_共射放大电路_电子科学与技术,59
K_化石记录_生物学,59
K_价_中国语言文学,59
K_进展_临床医学,59
K_静电场_物理学,59
K_抗日战争_历史学,59
K_数据包_计算机科学与技术,59
K_突出_临床医学,59
K_烯_化学,59
K_细化_计算机科学与技术,59
K_右移_计算机科学与技术,59
K_云计算_计算机科学与技术,59
K_杂化_化学,59
K_除法_计算机科学与技术,58
K_二重积分_数学,58
K_供给曲线_理论经济学,58
K_故障_计算机科学与技术,58
K_函数的参数_计算机科学与技术,58
K_候_大气科学,58
K_金属催化剂_化学工程与技术,58
K_考证_中国语言文学,58
K_可逆矩阵_数学,58
K_灵活性_计算机科学与技术,58
K_亲爱的朋友_管理科学与工程,58
K_热力学_化学,58
K_砂土_地质学,58
K_特性_管理科学与工程,58
K_变速器_机械工程,57
K_地位_管理科学与工程,57
K_动词_中国语言文学,57
K_辐射传递_物理学,57
K_官能团_化学,57
K_名词_中国语言文学,57
K_数据源_计算机科学与技术,57
K_碳正离子_化学,57
K_信念_心理学,57
K_檐_建筑学,57
K_意见_心理学,57
K_指令执行_计算机科学与技术,57
K_C++语言_计算机科学与技术,56
K_struct_计算机科学与技术,56
K_步骤_物理学,56
K_槽_机械工程,56
K_电路的输出_电子科学与技术,56
K_动物_哲学,56
K_横坐标_物理学,56
K_汇编程序_计算机科学与技术,56
K_巨噬细胞_临床医学,56
K_群体_管理科学与工程,56
K_实参_计算机科学与技术,56
K_数列极限_数学,56
K_苏格_哲学,56
K_碳链_化学,56
K_谐振_电子科学与技术,56
K_重新_临床医学,56
K_c程序_计算机科学与技术,55
K_表述_物理学,55
K_城市_地理学,55
K_大学化学_化学,55
K_调节_计算机科学与技术,55
K_对象_管理科学与工程,55
K_分区_计算机科学与技术,55
K_后轮_机械工程,55
K_积极心理学_心理学,55
K_极限过程_数学,55
K_甲_药学,55
K_礼_教育学,55
K_内外_中国语言文学,55
K_输入电阻，_电子科学与技术,55
K_烷_化学,55
K_新民主主义_政治学,55
K_兴奋_心理学,55
K_演示实验_物理学,55
K_阻抗_电气工程,55
K_左移_计算机科学与技术,55
K_if语句_计算机科学与技术,54
K_linux内核_计算机科学与技术,54
K_出口_计算机科学与技术,54
K_传输层_计算机科学与技术,54
K_格律_中国语言文学,54
K_光学系统_光学工程,54
K_可能性_管理科学与工程,54
K_控制器_计算机科学与技术,54
K_民收入_理论经济学,54
K_排序算法_计算机科学与技术,54
K_配合_机械工程,54
K_品牌_管理科学与工程,54
K_围护结构_建筑学,54
K_暂停_计算机科学与技术,54
K_中间体_化学,54
K_导出_计算机科学与技术,53
K_金属材料_材料科学与工程,53
K_清华大学工程物理系_计算机科学与技术,53
K_外部设备_计算机科学与技术,53
K_文件系统的_计算机科学与技术,53
K_溢出_计算机科学与技术,53
K_域_公共卫生与预防医学,53
K_运算结果_计算机科学与技术,53
K_正电荷_物理学,53
K_直觉_心理学,53
K_51单片机_计算机科学与技术,52
K_eax_计算机科学与技术,52
K_ucore_计算机科学与技术,52
K_标号_计算机科学与技术,52
K_程序设计的_计算机科学与技术,52
K_厨房_建筑学,52
K_电荷_电子科学与技术,52
K_规范_心理学,52
K_孔隙水压力_地质学,52
K_来源_药学,52
K_路由表_计算机科学与技术,52
K_啮合_机械工程,52
K_社会主义国_政治学,52
K_水平投影_机械工程,52
K_稳定性_药学,52
K_硝基_化学,52
K_应用领域_计算机科学与技术,52
K_正面投影_机械工程,52
K_状况_临床医学,52
K_delta_物理学,51
K_linux系统_计算机科学与技术,51
K_T细胞_公共卫生与预防医学,51
K_定律_力学,51
K_对位_化学,51
K_辐射_建筑学,51
K_函数调用，_计算机科学与技术,51
K_行向量_数学,51
K_行选_计算机科学与技术,51
K_后台_计算机科学与技术,51
K_节能_建筑学,51
K_开发团队_艺术学,51
K_理由_哲学,51
K_内存单元_计算机科学与技术,51
K_人口_地理学,51
K_生产计划_管理科学与工程,51
K_市场均衡_理论经济学,51
K_碳氢键_化学,51
K_碳碳双键_化学,51
K_拖动_计算机科学与技术,51
K_圆周运动_力学,51
K_运动_哲学,51
K_中学_教育学,51
K_错_临床医学,50
K_递归的_计算机科学与技术,50
K_分布_中国语言文学,50
K_分段_计算机科学与技术,50
K_惯性系_力学,50
K_建筑设计_建筑学,50
K_列宁主义_政治学,50
K_面向对象的_计算机科学与技术,50
K_融合_临床医学,50
K_软件工程_计算机科学与技术,50
K_水轮机_物理学,50
K_随机数_计算机科学与技术,50
K_弹簧_机械工程,50
K_押韵_中国语言文学,50
K_页表_计算机科学与技术,50
K_意图_计算机科学与技术,50
K_源文件_计算机科学与技术,50
K_增益_电子科学与技术,50
K_镇_建筑学,50
K_D_中国语言文学,49
K_常有_哲学,49
K_成语_中国语言文学,49
K_到期日_应用经济学,49
K_地质_地质学,49
K_动态分配_计算机科学与技术,49
K_反相输入端_电子科学与技术,49
K_沸石分子筛_化学工程与技术,49
K_盖_机械工程,49
K_函数的返回值_计算机科学与技术,49
K_迹_物理学,49
K_接入_电子科学与技术,49
K_经典_心理学,49
K_空串_计算机科学与技术,49
K_民族资产阶级_历史学,49
K_山_地质学,49
K_衍生物_化学,49
K_有限_哲学,49
K_重积分_数学,49
K_mooc在线课程微积分_数学,48
K_变速箱_机械工程,48
K_拆分_计算机科学与技术,48
K_尺寸_建筑学,48
K_存储数据_计算机科学与技术,48
K_第三方_计算机科学与技术,48
K_端电压_电子科学与技术,48
K_感叹_中国语言文学,48
K_积分区域_数学,48
K_李清照_中国语言文学,48
K_期货合约_应用经济学,48
K_亭_建筑学,48
K_微控制器_计算机科学与技术,48
K_信任_管理科学与工程,48
K_音乐_计算机科学与技术,48
K_源程序_计算机科学与技术,48
K_运作_管理科学与工程,48
K_重写_计算机科学与技术,48
K_必然性_哲学,47
K_边际收益_理论经济学,47
K_玻璃_物理学,47
K_参数传_计算机科学与技术,47
K_程序设计语言_计算机科学与技术,47
K_单质_化学,47
K_导线_电气工程,47
K_的成员函数_计算机科学与技术,47
K_电器_电气工程,47
K_类的定义_计算机科学与技术,47
K_民族伟大复兴_政治学,47
K_氢离子_化学,47
K_球_机械工程,47
K_输出特性曲线_电子科学与技术,47
K_同相输入端_电子科学与技术,47
K_网络层_计算机科学与技术,47
K_卫生间_建筑学,47
K_装饰图案_建筑学,47
K_状态参数_动力工程及工程热物理,47
K_组织细胞_临床医学,47
K_ARM_计算机科学与技术,46
K_ascii码_计算机科学与技术,46
K_传感器_电子科学与技术,46
K_的需求曲线_理论经济学,46
K_递推关系_数学,46
K_端点_计算机科学与技术,46
K_广告_管理科学与工程,46
K_会计_管理科学与工程,46
K_间质_临床医学,46
K_接调用_计算机科学与技术,46
K_勒_物理学,46
K_量子数_物理学,46
K_镍_材料科学与工程,46
K_情绪反应_心理学,46
K_输入回路_电子科学与技术,46
K_数据中心_计算机科学与技术,46
K_外墙_建筑学,46
K_现场_管理科学与工程,46
K_寻找_管理科学与工程,46
K_研究生_教育学,46
K_余弦信号_仪器科学与技术,46
K_元认知_心理学,46
K_园林_建筑学,46
K_指令集_计算机科学与技术,46
K_助教_教育学,46
K_hdfs_计算机科学与技术,45
K_logn)_数学,45
K_swap_计算机科学与技术,45
K_成员变量_计算机科学与技术,45
K_触发器的_电子科学与技术,45
K_挫折_心理学,45
K_大学国文_中国语言文学,45
K_带电体_物理学,45
K_的构造函数_计算机科学与技术,45
K_电场_电气工程,45
K_电机_电气工程,45
K_电势差_物理学,45
K_电位_电气工程,45
K_发送端_计算机科学与技术,45
K_封建主_政治学,45
K_赋值语句_计算机科学与技术,45
K_话题_中国语言文学,45
K_混合物_化学,45
K_计算能力_计算机科学与技术,45
K_角加速度_力学,45
K_开发过程_计算机科学与技术,45
K_理论_力学,45
K_免疫系统_公共卫生与预防医学,45
K_平差值_测绘科学与技术,45
K_平声_中国语言文学,45
K_数量_机械工程,45
K_特征多项式_数学,45
K_物联网_计算机科学与技术,45
K_学会_管理科学与工程,45
K_运输_管理科学与工程,45
K_组合_管理科学与工程,45
K_村_建筑学,44
K_大学生_教育学,44
K_蛋白质_药学,44
K_端口号_计算机科学与技术,44
K_分量_计算机科学与技术,44
K_功耗_计算机科学与技术,44
K_工具_机械工程,44
K_合作_心理学,44
K_基础设施_管理科学与工程,44
K_价格上升_理论经济学,44
K_烃基_化学,44
K_就调用_计算机科学与技术,44
K_均衡价格_理论经济学,44
K_嵌入式系统_计算机科学与技术,44
K_轮胎_机械工程,44
K_幂_计算机科学与技术,44
K_模块_管理科学与工程,44
