video_id,events,users,content_seconds,ccid,rank
V_7444985,12560,154,177448.15000000002,A05F17742CB05D609C33DC5901307461,127
V_8014866,12544,20,63569.0,471D5A309E13D42D9C33DC5901307461,128
V_8014856,12428,26,66334.0,5377F0BE630F2BA39C33DC5901307461,129
V_7427129,12350,167,116160.5,D04EDD6EBFBE9FDF9C33DC5901307461,130
V_7444986,12336,131,133117.59999999998,D426E55EB05544AC9C33DC5901307461,131
V_7592209,12315,46,75988.65,D50130260AD185329C33DC5901307461,132
V_7004717,12290,149,101271.45,0BE0BD0B6BC582119C33DC5901307461,133
V_7192317,12191,43,67159.5,9D1FFFC7AB85D7BD9C33DC5901307461,134
V_8014761,12172,17,63852.0,442E012590BA18D69C33DC5901307461,135
V_7427130,12145,158,110725.0,FD22E313DF105CED9C33DC5901307461,136
V_8016163,12133,14,62716.0,E80FED3C034138AB9C33DC5901307461,137
V_8014872,12127,22,62900.2,8884C64F3CFCDE599C33DC5901307461,138
V_8014829,12099,22,62990.1,21A2F70B1F7E002D9C33DC5901307461,139
V_6010430,12051,121,176966.19999999998,B6D85659921EC0759C33DC5901307461,140
V_7192302,12044,66,80118.65,E595F09B8D5EED389C33DC5901307461,141
V_7592206,12013,38,72199.79999999999,EA098DEA2DDF32639C33DC5901307461,142
V_7592164,12006,39,72983.69999999998,358B47037A88EFAA9C33DC5901307461,143
V_8014832,11974,19,62270.0,73EDD8938295ACD39C33DC5901307461,144
V_8013997,11957,15,62147.0,3AB257FB4C017D959C33DC5901307461,145
V_8014654,11936,13,61299.0,87113CCCBBB1DFC89C33DC5901307461,146
V_7192344,11915,56,74628.8,4C55234E38C9CB5E9C33DC5901307461,147
V_7720309,11878,10,59300.0,BF7ACC85BDEFE8069C33DC5901307461,148
V_8014037,11801,16,63322.0,FE5694C7FD2BF8099C33DC5901307461,149
V_8014780,11745,15,68595.0,B855586BFC59FD649C33DC5901307461,150
V_8013842,11739,13,59503.0,CBA44D06375432669C33DC5901307461,151
V_7004685,11674,144,99986.15,A80B7D825CBC55C89C33DC5901307461,152
V_7427240,11661,113,108105.5,F6BB997A5A531AC39C33DC5901307461,153
V_7004631,11652,127,88956.2,9C4278DECDC3075C9C33DC5901307461,154
V_8014860,11651,19,58380.9,C7645BBF4D4971D19C33DC5901307461,155
V_7427127,11624,171,112333.5,BBC091414715A5A89C33DC5901307461,156
V_7427232,11598,109,94926.0,80D077BE1C4800EE9C33DC5901307461,157
V_8014657,11595,12,58911.0,8ADE1D2896338C289C33DC5901307461,158
V_6059414,11537,101,149854.0,8E1B4B6C809E58249C33DC5901307461,159
V_7592184,11471,42,72431.40000000001,F705CB4708D4ECE89C33DC5901307461,160
V_7192307,11415,63,71572.0,77405C0A727CBDE69C33DC5901307461,161
V_8013372,11389,12,57368.0,C63F9B3FF6EBB3039C33DC5901307461,162
V_8014650,11386,12,57847.0,0AAECBD61497FB929C33DC5901307461,163
V_8014795,11355,15,58544.0,4DA0A0CBE8E9F0849C33DC5901307461,164
V_8013982,11352,11,59380.0,E9AEE130683F27409C33DC5901307461,165
V_7427100,11339,153,104540.2,BC11FC2381F40AFC9C33DC5901307461,166
V_8016162,11337,15,58928.0,21DF51F2DDB798319C33DC5901307461,167
V_7004630,11290,135,102983.05,115D5D0B4FA79D849C33DC5901307461,168
V_1358542,11278,10503,1590612.8449620048,E62F36210A8CAD489C33DC5901307461,169
V_8013993,11222,14,56920.1,F08CB4C89F2BFD459C33DC5901307461,170
V_8014042,11189,17,58177.0,772637289D71D9179C33DC5901307461,171
V_8016204,11144,12,56436.0,6C8DAC07283B73D69C33DC5901307461,172
V_7592201,11075,36,66770.05,3B958C7485F53C569C33DC5901307461,173
V_7445003,11064,106,118349.05,509C2AB867297ABB9C33DC5901307461,174
V_7192314,11057,50,67504.40000000001,4B77EF7A137B9FF49C33DC5901307461,175
V_8014810,11033,17,57624.0,9F2D6DEBAEF53B929C33DC5901307461,176
V_7004710,11005,133,81717.05,892E53C20CEA0DAC9C33DC5901307461,177
V_8013831,10932,11,56101.6,F5EBC8806A3D0F8D9C33DC5901307461,178
V_8016152,10926,12,55135.0,D213A869DF8AF27A9C33DC5901307461,179
V_7720294,10902,19,61001.6,F219DFCDC043D1529C33DC5901307461,180
V_8013828,10886,12,56892.0,C20ED40933F10DD89C33DC5901307461,181
V_7192320,10886,62,72566.3,845D687D0AF2621B9C33DC5901307461,182
V_8013816,10862,12,55891.0,7780711C632137A49C33DC5901307461,183
V_8014820,10832,20,57242.0,45538D8ACB5DC6839C33DC5901307461,184
V_7192341,10830,47,65161.35,2066ADB2CB1368E09C33DC5901307461,185
V_7004629,10828,157,136266.95,192E95704FCFCE949C33DC5901307461,186
V_8016147,10806,14,55157.0,9FCB1670674383F39C33DC5901307461,187
V_7427204,10802,102,83923.05,EDE9E9D9301EB20E9C33DC5901307461,188
V_8014813,10793,15,54399.0,7C4CAF8F3129AFA79C33DC5901307461,189
V_7192347,10772,44,60921.950000000004,4093574BCD9977379C33DC5901307461,190
V_8016155,10759,12,54296.0,35F254701DDDF5959C33DC5901307461,191
V_8014769,10737,15,55159.0,DE01F9B24ED19BEF9C33DC5901307461,192
V_8013817,10733,13,57320.0,8FB8620531C65B679C33DC5901307461,193
V_8014023,10730,12,55367.0,AEC381310AC8427A9C33DC5901307461,194
V_7720314,10681,11,54568.0,9B6E78E12422B7049C33DC5901307461,195
V_7004713,10675,145,84676.40000000001,56105BA9C1A6129C9C33DC5901307461,196
V_8013846,10621,11,54743.0,DFFCBF433DE1F8399C33DC5901307461,197
V_7004688,10590,134,87903.45,8A5C38DD8A8C410E9C33DC5901307461,198
V_7004721,10571,129,76461.1,8ECB0F79954D30659C33DC5901307461,199
V_8014762,10571,13,54423.0,4900B8FFFAB7AE469C33DC5901307461,200
V_8014819,10538,19,54961.0,83910932A8F44E939C33DC5901307461,201
V_7004712,10496,149,80975.35,BAEC912DAE24AABA9C33DC5901307461,202
V_8013838,10474,12,52722.0,93086DD83C0FAD3E9C33DC5901307461,203
V_1395645,10469,9213,1401898.2727811341,6F403FD15AC971C39C33DC5901307461,204
V_8013823,10466,12,54705.0,1E1C84C912AE426D9C33DC5901307461,205
V_8013821,10432,9,52070.0,BC6B4D93F8803DD69C33DC5901307461,206
V_7192311,10429,55,64910.25,B29061334CB42EA69C33DC5901307461,207
V_6012580,10396,119,153109.29999999996,29583344D42D42049C33DC5901307461,208
V_8014803,10386,15,53655.2,C486119E58A2999A9C33DC5901307461,209
V_8013807,10336,14,52714.0,2F10265FA4BD8F099C33DC5901307461,210
V_6069165,10303,121,161039.35000000003,5721040F59736B4A9C33DC5901307461,211
V_7004703,10261,152,86140.5,7CD6EBC6DF1275E59C33DC5901307461,212
V_6010431,10253,115,155957.4,61C3A8AC97A6E67E9C33DC5901307461,213
V_8016143,10234,14,53694.0,E345444E3BED86C89C33DC5901307461,214
V_7720311,10214,11,52970.0,229D05C577EC63559C33DC5901307461,215
V_8013985,10183,13,52729.0,145DFF2A66F210D09C33DC5901307461,216
V_8013988,10130,13,50535.0,E4C59C87A7F7DFF29C33DC5901307461,217
V_8016145,10112,14,52176.0,0D16B704A478D3FB9C33DC5901307461,218
V_7592204,10073,28,57592.9,81EC7B3A18B846389C33DC5901307461,219
V_7004723,10027,125,75613.15,138587C94593CA169C33DC5901307461,220
V_8016213,10001,12,49895.0,43EA1402B8FA18AA9C33DC5901307461,221
V_7720319,9995,12,50610.0,F4B651E3F91D3F159C33DC5901307461,222
V_7192357,9961,54,63828.0,12981F0EB20EA5709C33DC5901307461,223
V_7720326,9924,10,51306.0,A01448A2D6EAC86D9C33DC5901307461,224
V_7004694,9840,143,77745.4,5B61BD9C2715CBD79C33DC5901307461,225
V_8013990,9824,13,49239.0,593E2B06224E7B519C33DC5901307461,226
V_8013808,9815,20,54970.5,A3536489AB6B0FA19C33DC5901307461,227
V_6059432,9702,103,134726.84999999998,3FA0AAA3F033BBD79C33DC5901307461,228
V_1395648,9697,8502,1005307.000426979,CE41BF9C8FE136149C33DC5901307461,229
V_8016271,9626,9,49239.0,B24D99A175242CFD9C33DC5901307461,230
V_8016219,9617,12,48837.0,AD4D6DF14A95AC919C33DC5901307461,231
V_7720332,9594,9,49122.0,B24D99A175242CFD9C33DC5901307461,232
V_7004691,9594,129,71866.0,84D47F5C6EFA4E609C33DC5901307461,233
V_8013999,9591,15,50600.0,AC5D841BEB42BAB39C33DC5901307461,234
V_7004719,9579,141,77263.5,54F674CAD5206E129C33DC5901307461,235
V_1358544,9524,8794,1677656.9082659013,A600D54CB3523B979C33DC5901307461,236
V_8016211,9519,13,48080.0,7B954CB5053C819C9C33DC5901307461,237
V_8013833,9512,12,49479.6,429442032ABECAE29C33DC5901307461,238
V_8016243,9494,9,48823.0,F45A610989D587779C33DC5901307461,239
V_7192331,9490,50,62311.799999999996,3F234B723516E4849C33DC5901307461,240
V_7192322,9488,59,64795.2,AEE8C1AE5322F7F59C33DC5901307461,241
V_8014789,9478,11,47324.0,0711C12D238B43059C33DC5901307461,242
V_7004722,9470,130,73060.4,9991C54A3645E27A9C33DC5901307461,243
V_8013841,9456,12,48591.3,1AE4704EF23E1C969C33DC5901307461,244
V_7592191,9447,29,54377.5,76506FBF7AAE9FC99C33DC5901307461,245
V_7427047,9445,226,120238.1,F0E3D704DE0126839C33DC5901307461,246
V_8014797,9426,14,47963.0,C4273844C3B3FF6F9C33DC5901307461,247
V_8016148,9423,13,49412.0,183117CF0D5A5C0F9C33DC5901307461,248
V_8014758,9410,16,49278.0,BC0A0A712613602B9C33DC5901307461,249
V_8013852,9386,13,50542.0,D694A1EF92BF6C659C33DC5901307461,250
V_8013862,9379,12,49149.0,D4F39F72160AD0AD9C33DC5901307461,251
V_8013812,9352,12,48511.0,863BE4125DAD62519C33DC5901307461,252
V_7720327,9309,10,46649.0,56BB4DBD59613C429C33DC5901307461,253
V_7445006,9284,87,99843.34999999999,07751D042229D6509C33DC5901307461,254
V_7592174,9267,40,58918.700000000004,EE6A88C1B3BE17159C33DC5901307461,255
V_8016158,9264,12,46418.0,2A8C32023F360E5B9C33DC5901307461,256
V_7592154,9255,51,64869.15,F01CA0AA5E68B1479C33DC5901307461,257
V_1395644,9255,8500,619993.9378608787,9FC856ADE0E849F59C33DC5901307461,258
V_7427096,9247,174,99916.25,38D96760A45354449C33DC5901307461,259
V_7427099,9241,159,94018.8,EAD16BA0649198A09C33DC5901307461,260
V_7592098,9235,58,64701.9,4AABF488A2204D1B9C33DC5901307461,261
V_8014034,9222,18,48725.0,CB315BFA2A70EBB09C33DC5901307461,262
V_8014787,9215,13,46507.0,8DF6F7DBF2E515809C33DC5901307461,263
V_7004708,9189,137,74782.25,0A16ED7499ACD0AC9C33DC5901307461,264
V_7192362,9183,49,59447.399999999994,678BE5BC4F241E859C33DC5901307461,265
V_7592158,9175,37,59507.54999999999,88CD4BC6981C29019C33DC5901307461,266
V_8016259,9157,8,45913.0,51EE921FB98FF2889C33DC5901307461,267
V_7592198,9148,37,61496.6,4C56EC19713E53B69C33DC5901307461,268
V_8014015,9122,13,47489.0,9BB2C8661AF6A7B89C33DC5901307461,269
V_7720330,9116,12,48588.5,F5741CD4C3968E359C33DC5901307461,270
V_7192298,9114,68,64974.100000000006,899C19E669F99A3A9C33DC5901307461,271
V_8016269,9113,8,45481.0,F5741CD4C3968E359C33DC5901307461,272
V_8014016,9107,12,48031.0,580EE5C61E24DB839C33DC5901307461,273
V_6059413,9100,106,120835.35,B5818BB777AC76E89C33DC5901307461,274
V_6012902,9094,87,114947.90000000007,6666C86E71D8B8629C33DC5901307461,275
V_1395646,9087,8169,1177678.0505301952,8D830B1B51308FEA9C33DC5901307461,276
V_8016182,9067,8,46569.0,DD0272CD0EB58A2B9C33DC5901307461,277
V_7426989,9036,173,45745.5,2D89DE52876E5D3D9C33DC5901307461,278
V_7192335,9015,55,60528.85,C0870BED9E42E8BA9C33DC5901307461,279
V_8016161,9005,13,45442.0,09886E1AB2E9CF8B9C33DC5901307461,280
V_8016207,8973,11,44755.0,6765A1E7D0DF5E939C33DC5901307461,281
V_8013371,8969,11,44735.0,F317C4E2769A77199C33DC5901307461,282
V_7192366,8961,46,56413.3,560AF13E10D099869C33DC5901307461,283
V_7720292,8950,11,46041.0,B9711CB09B35CD0D9C33DC5901307461,284
V_6059434,8944,117,137040.4,656B9868AE4F89919C33DC5901307461,285
V_8014007,8893,11,46337.8,710D0A6D512976F39C33DC5901307461,286
V_7004705,8888,138,70118.75,559023963E6EB7C59C33DC5901307461,287
V_8013975,8880,11,44824.1,8311F02D022104CA9C33DC5901307461,288
V_7004689,8865,124,66146.6,AA69698616685C3C9C33DC5901307461,289
V_8013860,8861,10,44669.0,76F6099BF1C9CC809C33DC5901307461,290
V_8015774,8848,14,45326.4,354F3315A9C377A59C33DC5901307461,291
V_8013984,8831,11,44930.0,F0AB5C03663764099C33DC5901307461,292
V_8013858,8827,11,46429.0,2F76A483B40B869F9C33DC5901307461,293
V_8016265,8793,8,44040.0,A01448A2D6EAC86D9C33DC5901307461,294
V_8014028,8792,15,45607.0,2E28422ED007F5579C33DC5901307461,295
V_7592165,8791,40,55920.100000000006,C1E355FECCA608A99C33DC5901307461,296
V_8014821,8779,19,45065.0,B4BB382CC5C77DEE9C33DC5901307461,297
V_7720306,8762,12,44632.0,BD36F0FDBD0E7C209C33DC5901307461,298
V_8016164,8744,13,44738.0,334119A05B4EA2A79C33DC5901307461,299
V_6010432,8742,117,136589.74999999997,87545C6E58CEFF1E9C33DC5901307461,300
V_7192370,8729,49,55560.1,9BCBF73D2BCF8D159C33DC5901307461,301
V_6069168,8728,119,162888.99999999994,F0F9281976733D7C9C33DC5901307461,302
V_7592149,8728,48,62563.45,23E3CA1BAE9E2AF69C33DC5901307461,303
V_8015777,8705,15,45244.3,AA61A2072A2EA2BD9C33DC5901307461,304
V_8016250,8699,8,43490.0,229D05C577EC63559C33DC5901307461,305
V_8013827,8674,12,47507.0,09225A53495F421E9C33DC5901307461,306
V_8013979,8669,10,44925.0,3D0720FA67A4E59E9C33DC5901307461,307
V_7720324,8664,12,46323.8,D180AAF8F35DA4CD9C33DC5901307461,308
V_8013834,8610,13,43964.5,997E4DA888D9CB849C33DC5901307461,309
V_7004702,8597,141,70151.75,0DC8310D4ABA9D629C33DC5901307461,310
V_7192327,8581,56,62502.100000000006,1CE0F138BC7FDBF89C33DC5901307461,311
V_1395649,8575,7542,1215223.8218378501,9FD40735F703810A9C33DC5901307461,312
V_6059411,8574,100,135088.79999999996,FDD7AFBDE76E5E119C33DC5901307461,313
V_7592180,8565,42,52397.5,325168541F77002F9C33DC5901307461,314
V_8016248,8548,7,42670.0,BF7ACC85BDEFE8069C33DC5901307461,315
V_7427050,8542,189,97610.7,0D0BE64B44DE4A309C33DC5901307461,316
V_8014849,8535,27,45255.0,016DCCF8806911149C33DC5901307461,317
V_7592188,8510,34,49711.799999999996,94941D7BDB2434DF9C33DC5901307461,318
V_8016233,8506,6,43131.0,F219DFCDC043D1529C33DC5901307461,319
V_7590133,8499,20,49294.399999999994,1504199BB40443989C33DC5901307461,320
V_7004720,8488,121,62333.45,6268E58AC88ACDCA9C33DC5901307461,321
V_7192364,8483,43,50967.9,A20CDB7C4DF4560F9C33DC5901307461,322
V_6012901,8481,110,143852.85,52EDC2D2B77883B99C33DC5901307461,323
V_8016266,8479,8,42305.0,56BB4DBD59613C429C33DC5901307461,324
V_8014675,8476,12,46432.0,5E951F7DFBAE023F9C33DC5901307461,325
V_7192350,8472,40,51802.9,BC3F21434AC9D9669C33DC5901307461,326
V_8016166,8462,12,42205.0,C6972BA7A476E3EE9C33DC5901307461,327
V_8014000,8452,19,47744.0,101FAFA9C602BFA39C33DC5901307461,328
V_7427000,8452,262,133477.95,540E75B37D88A1039C33DC5901307461,329
V_8016214,8444,11,42110.0,871D2D0C91126F7B9C33DC5901307461,330
V_7592143,8438,40,55935.100000000006,079D9546D920D83A9C33DC5901307461,331
V_8014867,8431,20,42448.0,7C38B2C908D00BA39C33DC5901307461,332
V_8013367,8420,11,41990.0,6C6539E1381529AB9C33DC5901307461,333
V_8014036,8419,17,43993.0,4C3043B0B56E0B669C33DC5901307461,334
V_7720316,8414,12,42732.0,C2763AF9FD2590439C33DC5901307461,335
V_7720285,8404,23,47595.0,C79BE76E73F9FD989C33DC5901307461,336
V_8014835,8386,18,42800.0,28166F96BC8672F49C33DC5901307461,337
V_7592172,8373,34,52955.799999999996,FA8835397DE61BCC9C33DC5901307461,338
V_8016260,8355,9,44172.0,893753076FAE3C989C33DC5901307461,339
V_8016257,8339,6,41647.0,F77B4AFB41CD64549C33DC5901307461,340
V_7592160,8331,32,51959.8,8757F0FBD41F77749C33DC5901307461,341
V_7720335,8312,9,41519.0,945F139818D531F99C33DC5901307461,342
V_8016270,8299,10,42573.0,934EC0CA43EA2B6C9C33DC5901307461,343
V_7720331,8299,11,43242.0,934EC0CA43EA2B6C9C33DC5901307461,344
V_7192329,8276,43,48160.99999999999,D44C6A3BC31DA1C09C33DC5901307461,345
V_7004714,8257,136,62960.8,62A9370752A541BA9C33DC5901307461,346
V_7192295,8225,87,70247.90000000001,EA47A200B62AD9059C33DC5901307461,347
V_8013813,8218,13,43538.0,E188F43E4525C7059C33DC5901307461,348
V_8016167,8205,10,40945.0,2F6EE9BD7CC67D7E9C33DC5901307461,349
V_7004709,8194,139,63729.85,A2EB8B4380717CEE9C33DC5901307461,350
V_7720303,8185,13,42701.25,AF95FF467EB3BB269C33DC5901307461,351
V_8013995,8173,13,41417.0,7A7A7003DDA172599C33DC5901307461,352
V_8013859,8145,9,40750.0,5A7217408671DC1D9C33DC5901307461,353
V_8014008,8142,10,40883.0,C4ACCE7C68D37D869C33DC5901307461,354
V_8014812,8140,15,41088.0,E5EAE7B7096BB5D79C33DC5901307461,355
